"Install_Dates","campaign_id","Country","installs","spends"
"2020-03-28","161666","TH","5","0.4"
"2020-04-04","90464","UN","0","0.05"
"2020-04-26","787733","FR","17","4.47"
"2020-04-10","790034","RU","3343","483.33"
"2020-03-25","159253","DK","5","0.99"
"2020-03-18","95394","UA","72","0.97"
"2020-05-12","91502","FI","24","3.37"
"2020-04-11","786357","AE","27","3.42"
"2020-04-03","791951","US","58","19.41"
"2020-05-17","794235","MQ","1","0.01"
"2020-04-30","22083","NL","4","2.55"
"2020-05-18","22083","JP","6","2.02"
"2020-04-19","94033","PL","72","49.43"
"2020-03-22","788948","MD","54","1.57"
"2020-03-27","19115","PL","34","11.94"
"2020-03-22","92340","GR","2","0.01"
"2020-05-17","159854","FR","65","16.13"
"2020-05-06","90133","BY","51","0.58"
"2020-05-12","803170","RU","70","46.91"
"2020-03-23","96175","CO","13","0.28"
"2020-04-01","803588","RU","274","22.64"
"2020-03-24","160483","TW","23","7.71"
"2020-04-10","788531","KR","29","44.13"
"2020-03-22","94405","SE","19","3.57"
"2020-04-19","93687","NZ","2","15.15"
"2020-03-20","92193","FR","18","0.89"
"2020-03-21","158780","SI","2","0.2"
"2020-04-15","92440","HR","11","3.29"
"2020-05-12","794235","SO","3","0.02"
"2020-03-23","788099","IL","1","0.04"
"2020-05-16","794235","BZ","2","0.02"
"2020-04-15","19115","DK","2","0.53"
"2020-05-16","788609","KZ","365","25.57"
"2020-05-18","159253","DE","23","11.91"
"2020-05-07","19115","HU","9","2.24"
"2020-04-12","95842","US","1","3.86"
"2020-04-25","19115","CH","2","0.52"
"2020-04-20","793773","TG","0","0.01"
"2020-05-17","791763","US","7","8.03"
"2020-04-14","94628","TW","0","2.98"
"2020-04-04","93261","KZ","14","3.29"
"2020-04-17","19115","IT","2","0.38"
"2020-04-25","22083","UK","4","4.63"
"2020-05-07","794235","TJ","4","0.02"
"2020-04-16","803472","US","0","1.5"
"2020-04-14","92607","IT","22","7.49"
"2020-05-08","19115","IS","1","0.25"
"2020-05-18","794235","MY","6","0.05"
"2020-04-20","161271","UA","89","6.66"
"2020-04-07","19115","QA","1","0.11"
"2020-05-17","794235","NC","2","0.02"
"2020-04-16","19115","HR","1","0.1"
"2020-03-25","161666","IN","8","0.12"
"2020-05-02","794235","DZ","35","0.18"
"2020-05-07","19115","FR","6","2.57"
"2020-04-26","92847","JP","4","17.02"
"2020-05-10","792410","GE","18","0.38"
"2020-03-23","161666","BR","326","26.08"
"2020-03-23","93375","MX","14","0.19"
"2020-05-03","95525","UK","23","24.57"
"2020-04-03","95464","UK","35","33.06"
"2020-05-12","19115","BE","9","6.27"
"2020-05-15","794235","NI","9","0.08"
"2020-05-04","19115","US","20","39.28"
"2020-04-12","787676","DK","5","0.9"
"2020-03-25","158583","TW","10","5"
"2020-04-17","789721","RU","276","50.17"
"2020-04-02","160845","RU","1781","298.28"
"2020-04-22","786714","BY","805","105.16"
"2020-05-17","794235","CV","1","0.01"
"2020-05-17","794235","OM","1","0.01"
"2020-05-10","22083","SA","0","2.04"
"2020-04-07","159854","IT","6","1.49"
"2020-04-10","788761","KZ","1","0.03"
"2020-04-02","803287","SE","4","2.63"
"2020-03-21","788206","IN","151","1.22"
"2020-05-05","794235","IN","10","0.05"
"2020-03-27","158583","US","2","6"
"2020-04-20","19115","RU","743","178.62"
"2020-05-06","19115","TW","2","0.32"
"2020-05-06","159253","AT","2","0.65"
"2020-04-21","92926","KR","24","25.97"
"2020-04-30","786530","AU","2","0.84"
"2020-04-22","792410","AM","34","0.5"
"2020-04-16","790003","RU","153","28.45"
"2020-05-15","794235","BR","1","0.01"
"2020-05-16","792410","PY","4","0.05"
"2020-03-27","161666","ID","40","2.4"
"2020-04-13","788408","IT","8","0.72"
"2020-03-26","787456","DE","3","0.26"
"2020-04-24","92708","JP","6","26.28"
"2020-03-20","91343","UN","0","0.24"
